parcela,arv,comum.nome,cientifico.nome,familia.nome,dap.2012,tipo,vert.2012,Luz.2012,Hcom.2012,Htot.2012,dap.2014,UTM.leste,UTM.norte
T01,2,macucu,Licania guianensis,Chrysobalanaceae,10.3,O,S,2,4.59,7.83,10.3,778459.6729,9586871.539
T01,5,casca seca,Licania canescens,Chrysobalanaceae,14.6,O,S,2,9.16,10.27,14.9,778444.1712,9586870.399
T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,O,E,1,21.06,31.65,78.9,778443.5294,9586872.461
T01,7,breu branco,Protium paniculatum,Burseraceae,14.7,O,S,2,7.35,11.54,14.7,778443.2246,9586869.534
T01,9,breu branco,Protium paniculatum,Burseraceae,10.6,O,E,3,4.9,6.91,10.6,778436.1941,9586869.46
T01,10,caramuxi,Pouteria hispida,Sapotaceae,27.1,O,C,2,13.53,19.83,27.7,778433.713,9586868.991
T01,12,casca seca,Licania canescens,Chrysobalanaceae,15.1,O,E,2,7.44,12.09,15.3,778427.1563,9586869.342
T01,13,jatereu,Lecythis idatimon,Lecythidaceae,16.5,O,S,2,7.61,11.46,16.5,778423.2009,9586868.382
T01,14,jatereu,Lecythis idatimon,Lecythidaceae,12,O,S,1,8.41,12.26,12,778417.1911,9586868.076
T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,O,C,2,31.19,32.29,39.6,778412.709,9586867.472
T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,O,C,2,20.84,31.1,46.5,778413.8796,9586872.463
T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,O,E,1,24.5,33.43,58.6,778412.6282,9586868.67
T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,O,C,2,18.7,28.84,42.5,778409.7075,9586867.27
T01,19,capueiro,Rinorea guianensis,Violaceae,11.4,O,S,2,7.49,10.57,12,778405.6454,9586867.889
T01,20,casca seca,Licania canescens,Chrysobalanaceae,15,O,S,2,9.49,14.79,19.2,778351.1777,9586863.316
T01,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,O,S,1,7.07,10.2,13.6,778317.1333,9586861.417
T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,O,C,1,20.19,37.54,35.2,778313.4631,9586863.675
T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,O,C,1,10.17,24.67,59.3,778312.0297,9586862.575
T01,25,macucu,Licania guianensis,Chrysobalanaceae,11,O,S,2,6.72,11.57,11.2,778263.0726,9586858.258
T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,O,C,2,18.97,36.95,53.2,778258.9353,9586859.991
T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,O,C,1,24.58,33.93,52.4,778256.0011,9586858.791
T01,29,morta,NA,NA,40.2,O,NA,NA,NA,6.3,40.2,778246.9556,9586856.395
T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,O,C,2,17.53,26.17,40.8,778215.7159,9586857.659
T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,O,C,1,16.38,29.42,38.8,778197.2782,9586854.509
T01,37,macaranduba,Manilkara huberi,Sapotaceae,10.3,O,S,3,13.37,15.97,10.4,778193.292,9586852.391
T01,38,matamata,Eschweilera amazonica,Lecythidaceae,27,O,S,2,17.45,22.52,27.9,778181.3318,9586851.948
T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,O,C,2,20.35,31.98,46.5,778168.7997,9586849.971
T01,42,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,O,S,1,17.24,22.02,17.5,778159.59,9586849.751
T01,43,morta,NA,NA,19.1,O,NA,NA,NA,18.4,NA,778153.6295,9586848.835
T01,45,sucupira,Diplotropis sp.,Fabaceae,17,O,S,1,2.52,7.85,16.6,778141.2332,9586848.318
T01,46,jatereu,Lecythis idatimon,Lecythidaceae,10,O,S,1,6.97,9.03,10.4,778134.6032,9586847.615
T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,O,C,1,22.08,34.35,44.8,778130.7604,9586852.244
T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,O,C,2,22.27,29.33,39.1,778129.972,9586846.127
T01,52,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,O,S,3,11.67,17.81,14.3,778127.0779,9586846.323
T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,O,E,1,29.3,34.83,47,778120.658,9586848.156
T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,O,S,1,19.43,28.6,36.9,778112.7127,9586846.308
